batting_team,bowling_team,city,runs_left,balls_left,wickets,target_runs,cur_run_rate,req_run_rate,result
Chennai Super Kings,Mumbai Indians,Hyderabad,95,80,9,153,8.7,7.125,0
Sunrisers Hyderabad,Kings XI Punjab,Sharjah,164,96,9,194,7.5,10.25,0
Chennai Super Kings,Royal Challengers Bangalore,Chennai,31,62,8,75,4.551724138,3.0,1
Delhi Daredevils,Kings XI Punjab,Delhi,71,80,10,119,7.2,5.325,1
Delhi Capitals,Rajasthan Royals,Delhi,93,96,8,125,8.0,5.8125,1
Rajasthan Royals,Kings XI Punjab,Chandigarh,135,104,9,146,4.125,7.788461538,1
Royal Challengers Bangalore,Delhi Daredevils,Bangalore,50,47,8,153,8.465753425,6.382978723,1
Mumbai Indians,Kolkata Knight Riders,Mumbai,26,28,6,148,7.956521739,5.571428571,1
Chennai Super Kings,Rajasthan Royals,Chennai,13,20,9,148,8.1,3.9,1
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,36,33,6,183,10.13793103,6.545454545,1
Rajasthan Royals,Deccan Chargers,Jaipur,117,96,10,141,6.0,7.3125,1
Kolkata Knight Riders,Kings XI Punjab,Bangalore,53,32,7,200,10.02272727,9.9375,1
Kolkata Knight Riders,Deccan Chargers,Kolkata,92,99,8,111,5.428571429,5.575757576,1
Delhi Daredevils,Mumbai Indians,East London,97,101,10,117,6.315789474,5.762376238,1
Rajasthan Royals,Delhi Daredevils,Centurion,124,98,9,144,5.454545455,7.591836735,1
Kings XI Punjab,Mumbai Indians,Chandigarh,124,102,10,155,10.33333333,7.294117647,1
Chennai Super Kings,Delhi Daredevils,Delhi,21,9,4,188,9.027027027,14.0,1
Rajasthan Royals,Delhi Daredevils,Jaipur,75,58,8,157,7.935483871,7.75862069,1
Royal Challengers Bangalore,Deccan Chargers,Hyderabad,137,98,9,166,7.909090909,8.387755102,1
Chennai Super Kings,Royal Challengers Bangalore,Chennai,34,29,6,127,6.131868132,7.034482759,0
Kolkata Knight Riders,Rajasthan Royals,Kolkata,18,14,6,132,6.452830189,7.714285714,1
Delhi Daredevils,Rajasthan Royals,Delhi,61,73,9,130,8.808510638,5.01369863,1
Mumbai Indians,Chennai Super Kings,Chennai,86,38,6,209,9.0,13.57894737,0
Chennai Super Kings,Royal Challengers Bangalore,Chennai,191,101,10,206,4.736842105,11.34653465,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,92,50,7,208,9.942857143,11.04,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Bengaluru,23,19,7,180,9.326732673,7.263157895,1
Deccan Chargers,Chennai Super Kings,Nagpur,5,8,6,139,7.178571429,3.75,1
Rajasthan Royals,Mumbai Indians,Jaipur,39,49,8,95,4.732394366,4.775510204,1
Kings XI Punjab,Chennai Super Kings,Abu Dhabi,67,41,7,206,10.55696203,9.804878049,1
Chennai Super Kings,Mumbai Indians,Mumbai,92,45,7,177,6.8,12.26666667,0
Rajasthan Royals,Delhi Daredevils,Bloemfontein,128,87,8,151,4.181818182,8.827586207,0
Kolkata Knight Riders,Kings XI Punjab,Cuttack,82,78,10,150,9.714285714,6.307692308,1
Delhi Daredevils,Mumbai Indians,Sharjah,107,99,10,126,5.428571429,6.484848485,1
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,113,82,10,172,9.315789474,8.268292683,1
Delhi Daredevils,Rajasthan Royals,Mumbai,81,35,6,190,7.694117647,13.88571429,0
Delhi Daredevils,Sunrisers Hyderabad,Raipur,150,110,10,159,5.4,8.181818182,1
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,177,113,10,184,6.0,9.398230088,1
Mumbai Indians,Delhi Daredevils,Delhi,118,90,9,165,9.4,7.866666667,0
Sunrisers Hyderabad,Chennai Super Kings,Chennai,64,11,5,210,8.036697248,34.90909091,0
Rajasthan Royals,Royal Challengers Bangalore,Pune,166,106,9,181,6.428571429,9.396226415,0
Chennai Super Kings,Rajasthan Royals,Jaipur,67,47,6,127,4.931506849,8.553191489,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,107,57,8,208,9.619047619,11.26315789,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,94,78,10,167,10.42857143,7.230769231,1
Chennai Super Kings,Mumbai Indians,Chennai,119,95,9,149,7.2,7.515789474,0
Royal Challengers Bangalore,Chennai Super Kings,Johannesburg,53,45,7,147,7.52,7.066666667,1
Mumbai Indians,Kings XI Punjab,Chandigarh,135,86,10,169,6.0,9.418604651,1
Kings XI Punjab,Delhi Daredevils,Chandigarh,108,86,8,159,9.0,7.534883721,1
Rajasthan Royals,Royal Challengers Bangalore,Bangalore,103,50,6,191,7.542857143,12.36,1
Kings XI Punjab,Deccan Chargers,Hyderabad,89,61,8,165,7.728813559,8.754098361,1
Rajasthan Royals,Deccan Chargers,Port Elizabeth,85,61,5,142,5.796610169,8.360655738,1
Royal Challengers Bangalore,Mumbai Indians,Mumbai,63,2,3,195,6.711864407,189.0,0
Deccan Chargers,Chennai Super Kings,Durban,118,101,10,166,15.15789474,7.00990099,1
Delhi Daredevils,Chennai Super Kings,Chennai,51,47,9,170,9.780821918,6.510638298,1
Chennai Super Kings,Mumbai Indians,Mumbai,146,92,9,188,9.0,9.52173913,0
Chennai Super Kings,Kolkata Knight Riders,Kolkata,62,37,6,171,7.879518072,10.05405405,1
Delhi Daredevils,Kolkata Knight Riders,Unknown,70,47,7,167,7.97260274,8.936170213,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,33,14,5,156,6.962264151,14.14285714,1
Rajasthan Royals,Mumbai Indians,Mumbai,75,49,9,178,8.704225352,9.183673469,1
Chennai Super Kings,Mumbai Indians,Mumbai,96,68,8,174,9.0,8.470588235,1
Kolkata Knight Riders,Delhi Daredevils,Delhi,203,106,8,224,9.0,11.49056604,0
Delhi Daredevils,Mumbai Indians,Mumbai,168,90,8,210,8.4,11.2,0
Delhi Daredevils,Kings XI Punjab,Dharamsala,75,31,5,171,6.471910112,14.51612903,0
Deccan Chargers,Chennai Super Kings,East London,171,98,7,179,2.181818182,10.46938776,0
Delhi Capitals,Kings XI Punjab,Delhi,97,72,9,169,9.0,8.083333333,1
Mumbai Indians,Deccan Chargers,Visakhapatnam,137,115,10,139,2.4,7.147826087,1
Mumbai Indians,Rajasthan Royals,Jaipur,122,47,6,180,4.767123288,15.57446809,0
Delhi Capitals,Royal Challengers Bangalore,Bengaluru,95,84,9,155,10.0,6.785714286,1
Kolkata Knight Riders,Mumbai Indians,Cuttack,6,12,7,142,7.555555556,3.0,1
Chennai Super Kings,Delhi Daredevils,Delhi,58,34,9,179,8.441860465,10.23529412,1
Kings XI Punjab,Kolkata Knight Riders,Port Elizabeth,153,116,10,154,1.5,7.913793103,1
Delhi Daredevils,Deccan Chargers,Centurion,108,83,8,149,6.648648649,7.807228916,1
Royal Challengers Bangalore,Delhi Daredevils,Sharjah,71,59,8,146,7.37704918,7.220338983,1
Rajasthan Royals,Mumbai Indians,Jaipur,64,48,7,172,9.0,8.0,1
Royal Challengers Bangalore,Rajasthan Royals,Jaipur,12,40,6,131,8.925,1.8,1
Royal Challengers Bangalore,Mumbai Indians,Mumbai,189,110,10,195,3.6,10.30909091,0
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,76,37,6,173,7.012048193,12.32432432,0
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,65,8,5,191,6.75,48.75,0
Kolkata Knight Riders,Mumbai Indians,Kolkata,78,31,7,183,7.078651685,15.09677419,0
Mumbai Indians,Kolkata Knight Riders,Mumbai,19,9,5,179,8.648648649,12.66666667,1
Kolkata Knight Riders,Rajasthan Royals,Kolkata,105,95,8,145,9.6,6.631578947,1
Kolkata Knight Riders,Delhi Daredevils,Kolkata,160,117,10,161,2.0,8.205128205,1
Chennai Super Kings,Mumbai Indians,Mumbai,82,61,8,165,8.440677966,8.06557377,0
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,22,10,1,139,6.381818182,13.2,0
Rajasthan Royals,Sunrisers Hyderabad,Ahmedabad,71,53,6,135,5.731343284,8.037735849,0
Mumbai Indians,Royal Challengers Bangalore,Mumbai,59,36,5,163,7.428571429,9.833333333,1
Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,61,31,6,151,6.06741573,11.80645161,0
Chennai Super Kings,Kings XI Punjab,Dharamsala,16,6,6,193,9.315789474,16.0,1
Rajasthan Royals,Deccan Chargers,Ahmedabad,80,73,9,149,8.808510638,6.575342466,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,30,12,5,209,9.944444444,15.0,0
Chennai Super Kings,Kings XI Punjab,Chennai,60,54,9,137,7.0,6.666666667,0
Sunrisers Hyderabad,Kings XI Punjab,Chandigarh,133,86,10,180,8.294117647,9.279069767,1
Royal Challengers Bangalore,Rajasthan Royals,Bangalore,122,63,7,196,7.789473684,11.61904762,0
Kings XI Punjab,Mumbai Indians,Mumbai,127,77,9,160,4.604651163,9.896103896,0
Sunrisers Hyderabad,Kings XI Punjab,Chandigarh,60,34,8,180,8.372093023,10.58823529,1
Delhi Daredevils,Royal Challengers Bangalore,Delhi,59,28,6,184,8.152173913,12.64285714,0
Royal Challengers Bangalore,Mumbai Indians,Mumbai,31,20,6,166,8.1,9.3,1
Delhi Daredevils,Royal Challengers Bangalore,Bangalore,60,22,5,187,7.775510204,16.36363636,0
Kolkata Knight Riders,Kings XI Punjab,Chandigarh,28,38,7,139,8.12195122,4.421052632,1
Rajasthan Royals,Delhi Daredevils,Delhi,81,27,2,189,6.967741935,18.0,0
Deccan Chargers,Royal Challengers Bangalore,Centurion,156,104,10,171,5.625,9.0,0
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,29,21,3,160,7.939393939,8.285714286,0
Rajasthan Royals,Chennai Super Kings,Chennai,110,75,9,158,6.4,8.8,0
Mumbai Indians,Royal Challengers Bangalore,Bangalore,137,112,10,143,4.5,7.339285714,1
Deccan Chargers,Chennai Super Kings,Chennai,81,51,8,161,6.956521739,9.529411765,0
Mumbai Indians,Rajasthan Royals,Mumbai,40,59,9,104,6.295081967,4.06779661,1
Kings XI Punjab,Kolkata Knight Riders,Kolkata,58,44,9,201,11.28947368,7.909090909,1
Rajasthan Royals,Mumbai Indians,Mumbai,73,34,6,213,9.76744186,12.88235294,0
Delhi Capitals,Mumbai Indians,Delhi,137,95,10,175,9.12,8.652631579,0
Delhi Daredevils,Mumbai Indians,Delhi,11,25,9,162,9.536842105,2.64,1
Delhi Daredevils,Sunrisers Hyderabad,Hyderabad,169,105,9,192,9.2,9.657142857,0
Sunrisers Hyderabad,Delhi Daredevils,Visakhapatnam,140,92,10,168,6.0,9.130434783,0
Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,5,4,5,184,9.25862069,7.5,1
Chennai Super Kings,Kolkata Knight Riders,Chennai,140,108,10,148,4.0,7.777777778,1
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,70,101,10,112,13.26315789,4.158415842,1
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,120,87,10,172,9.454545455,8.275862069,1
Kolkata Knight Riders,Sunrisers Hyderabad,Delhi,103,69,8,163,7.058823529,8.956521739,0
Deccan Chargers,Kolkata Knight Riders,Johannesburg,156,115,10,161,6.0,8.139130435,1
Mumbai Indians,Delhi Daredevils,Delhi,54,69,8,96,4.941176471,4.695652174,1
Kolkata Knight Riders,Mumbai Indians,Kolkata,172,111,9,174,1.333333333,9.297297297,0
Delhi Daredevils,Chennai Super Kings,Chennai,126,86,9,177,9.0,8.790697674,0
